Name, Date, City, State, Reason
 Paul Hill,Sept. 15,Carrollton,Ala.,ARSON
 Paul Archer, Sept. 15,Carrollton,Ala.,ARSON
 William Archer, Sept. 15,Carrollton,Ala.,ARSON
 Emma Fair, Sept. 15,Carrollton,Ala.,ARSON
 unknown negro,Dec. 23,Fannin,Miss.,SUSPECTED ROBBERY
 Calvin Thomas,Dec. 25,near Brainbridge,Ga.,ASSAULT
 Tillman Green,Dec. 28,Columbia,La.,ATTEMPTED ASSAULT
 Patrick Wells,Jan. 26,Quincy,Fla.,INCENDIARISM
 Frank Harrell, Feb. 9,Dickery,Miss.,INCENDIARISM
 William Filder, Feb. 9,Dickery,Miss.,INCENDIARISM
 Richard Mays,Feb. 21,Springville,Mo.,ATTEMPTED RAPE
 Dug Hazleton, Aug. 14,Carrollton,Ga.,ATTEMPTED RAPE
 Judge McNeil, Sept. 1,Cadiz,Ky.,ATTEMPTED RAPE
 Frank Smith, Sept. 11,Newton,Miss.,ATTEMPTED RAPE
 William Jackson, Sept. 16,Nevada,Mo.,ATTEMPTED RAPE
 RileyGulley, Sept. 19,Pine Apple,Ala.,ATTEMPTED RAPE
 John Davis, Oct. 9,Shorterville,Ala.,ATTEMPTED RAPE
Robert Kennedy, Nov. 8,Spartansburg,S.C.,ATTEMPTED RAPE
 Richard Forman,Feb. 16,Granada,Miss.,BURGLARY
 David Jackson,Oct. 14,Covington,La.,WIFE BEATING
 Thomas Smith,Sept. 21,Roanoke,Va.,ATTEMPTED MURDER
 four unknown negroes,Dec. 12,near Selma,Ala.,ATTEMPTED ROBBERY
 Thomas Carr,Jan. 30,Kosciusko,Miss.,RACE PREJUDICE
 William Butler, Feb. 7,HickoryCreek,Texas,RACE PREJUDICE
 Charles Tart, Aug. 27,Lyons Station,Miss.,RACE PREJUDICE
 RobertGreenwood, Dec. 7,Cross county,Ark.,RACE PREJUDICE
 Allen Butler, July 14,Lawrenceville,Ill.,RACE PREJUDICE
 two unknown negroes,Oct. 24,Knox Point,La.,THIEVES
 Edward Wagner,Nov. 4,Lynchburg,Va.,ALLEGED BARN BURNING
 William Wagner, Nov. 4,Lynchburg,Va.,ALLEGED BARN BURNING
 Samuel Motlow, Nov. 4,Lynchburg,Va.,ALLEGED BARN BURNING
 Eliza Motlow, Nov. 4,Lynchburg,Va.,ALLEGED BARN BURNING
 Robert Landry,Jan. 21,St. James Parish,La.,ALLEGED MURDER
 Chicken George, Jan. 21,St. James Parish,La.,ALLEGED MURDER
 Richard Davis, Jan. 21,St. James Parish,La.,ALLEGED MURDER
 Benjamin Menter, Dec.8,Berlin,Ala.,ALLEGED MURDER
 Robert Wilkins, Dec. 8,Berlin,Ala.,ALLEGED MURDER
 Joseph Gevhens,Dec. 8,Berlin,Ala.,ALLEGED MURDER
 Valsin Julian,Sept. 16,Jefferson Parish,La.,ALLEGED COMPLICITY IN MURDER
 Basil Julian, Sept. 16,Jefferson Parish,La.,ALLEGED COMPLICITY IN MURDER
 Paul Julian, Sept. 16,Jefferson Parish,La.,ALLEGED COMPLICITY IN MURDER
 John Willis, Sept.16,Jefferson Parish,La.,ALLEGED COMPLICITY IN MURDER
 Samuel Thorp,June 29,Savannah,Ga.,MURDER
 George S. Riechen, June 29,Waynesboro,Ga.,MURDER
 Joseph Bird, June 30,Wilberton,I.T.,MURDER
 JamesLamar, July 1,Darien,Ga.,MURDER
 Henry Miller, July 28,Dallas,Texas,MURDER
 AdaHiers, July 28,Walterboro,S.C.,MURDER
 Alexander Brown, July 28,Bastrop,Texas,MURDER
 W.G. Jamison, July30,Quincy,Ill.,MURDER
 John Ferguson, Sept. 1,Lawrens,S.C.,MURDER
 Oscar Johnston,Sept. 1,Berkeley,S.C.,MURDER
 Henry Ewing, Sept. 1,Berkeley,S.C.,MURDER
 William Smith, Sept. 8,Camden,Ark.,MURDER
 Staples Green, Sept. 15,Livingston,Ala.,MURDER
 Hiram Jacobs, Sept. 29,Mount Vernon,Ga.,MURDER
Lucien Mannet, Sept. 29,Mount Vernon,Ga.,MURDER
 Hire Bevington, Sept. 29,Mount Vernon,Ga.,MURDER
 Weldon Gordon, Sept. 29,Mount Vernon,Ga.,MURDER
 ParseStrickland, Sept. 29,Mount Vernon,Ga.,MURDER
 William Dalton, Oct. 20,Cartersville,Ga.,MURDER
 M.B. Taylor,Oct. 27,Wise Court House,Va.,MURDER
 Isaac Williams, Oct. 27,Madison,Ga.,MURDER
 Miller Davis, Nov. 10,Center Point,Ark.,MURDER
 JohnJohnston, Nov. 14,Auburn,N.Y.,MURDER
 Calvin Stewart,Sept. 27,Langley,S.C.,MURDER
 Henry Coleman, Sept. 29,Denton,La.,MURDER
 William Richards, Oct. 18,Summerfield,Ga.,MURDER
 James Dickson, Oct. 18,Summerfield,Ga.,MURDER
 Edward Jenkins, Oct. 27,Clayton county,Ga.,MURDER
Henry Boggs, Nov. 9,Fort White,Fla.,MURDER
 three unknown negroes, Nov. 14,Lake CityJunction,Fla.,MURDER
 D.T. Nelson, Nov. 14,Varney,Ark.,MURDER
 Newton Jones, Nov. 29,Baxley,Ga.,MURDER
 Lucius Holt, Dec. 2,Concord,Ga.,MURDER
 two unknownnegroes, Dec. 10,Richmond,Ala.,MURDER
 Henry Fleming, July 12,Columbus,Miss.,MURDER
unknown negro, July 17,Briar Field,Ala.,MURDER
 Meredith Lewis, July 18,Roseland,La.,MURDER
 Edward Bill,July 29,Dresden,Tenn.,MURDER
 Henry Reynolds, Aug. 1,Montgomery,Tenn.,MURDER
 unknown negro, Aug. 9,McCreery,Ark.,MURDER
 unknown negro, Aug. 12,Brantford,Fla.,MURDER
 Charles Walton, Aug. 18,Morganfield,Ky,MURDER
Charles Tait, Aug. 21,near Memphis,Tenn.,MURDER
 Leonard Taylor, Aug. 28,New Castle,Ky,MURDER
 Benjamin Jackson, Sept. 8,Quincy,Miss.,MURDER
 John Williams, Sept. 14,Jackson,Tenn.,MURDER
 unknown negro,July 30,Wingo,Ky.,SELF-DEFENSE
 two unknown negroes,Aug. 18,Franklin Parish,La.,POISONING WELLS
 Benjamin Jackson,Sept. 15,Jackson,Miss.,ALLEGED WELL POISONING
 Mahala Jackson, Sept. 15,Jackson,Miss.,ALLEGED WELL POISONING
